EndDateTime,HighPX,LowPX,OpenPX,ClosePX,Volume,Bid,Ask,InstrumentId,BeginDateTime
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1200,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1300,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1400,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.00015435,0.0001544,0.00015435,1500,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001515,1524,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.00015435,1624,0.0001515,0.00015435,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,1724,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,1824,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,1924,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2024,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2124,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2224,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2324,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2424,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,2424,0.0001515,0.0001544,40,1642629480000
1642629540000,0.0001544,0.0001515,0.0001544,0.0001544,100,0.0001515,0.0001544,40,1642629480000
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,100,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,200,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,300,0.0001515,0.00015452,40,1642629540000
1642629600000,0.00015452,0.0001544,0.0001544,0.00015452,400,0.0001515,0.00015452,40,1642629540000
